,Accuracy
0,73.68421052631578
1,73.20574162679426
2,66.50717703349282
3,71.77033492822966
4,71.29186602870813
5,67.94258373205741
6,67.46411483253588
7,69.85645933014354
8,72.72727272727273
9,72.72727272727273
10,68.89952153110048
11,72.72727272727273
12,71.77033492822966
13,71.29186602870813
14,69.377990430622
15,68.89952153110048
16,74.16267942583733
17,72.24880382775119
18,71.77033492822966
19,72.72727272727273
20,68.42105263157895
21,71.77033492822966
22,67.46411483253588
23,75.11961722488039
24,67.46411483253588
25,73.68421052631578
26,68.42105263157895
27,73.20574162679426
28,74.16267942583733
29,69.377990430622
30,72.72727272727273
31,74.64114832535886
32,73.68421052631578
33,69.377990430622
34,70.33492822966507
35,67.46411483253588
36,66.50717703349282
37,72.72727272727273
38,68.89952153110048
39,68.42105263157895
40,69.85645933014354
41,68.89952153110048
42,73.20574162679426
43,66.98564593301435
44,69.377990430622
45,72.24880382775119
46,72.72727272727273
47,66.98564593301435
48,69.377990430622
49,68.42105263157895
50,68.42105263157895
51,74.16267942583733
52,69.85645933014354
53,70.81339712918661
54,72.24880382775119
55,68.89952153110048
56,69.377990430622
57,69.85645933014354
58,68.89952153110048
59,72.24880382775119
60,68.89952153110048
61,73.20574162679426
62,67.46411483253588
63,69.377990430622
64,68.42105263157895
65,68.89952153110048
66,71.29186602870813
67,69.85645933014354
68,73.68421052631578
69,73.20574162679426
70,71.77033492822966
71,73.20574162679426
72,73.20574162679426
73,75.11961722488039
74,71.29186602870813
75,71.77033492822966
76,70.81339712918661
77,68.89952153110048
78,73.68421052631578
79,70.81339712918661
80,71.29186602870813
81,72.24880382775119
82,69.377990430622
83,69.377990430622
84,67.94258373205741
85,67.94258373205741
86,68.89952153110048
87,68.42105263157895
88,68.42105263157895
89,71.29186602870813
90,73.20574162679426
91,68.89952153110048
92,67.94258373205741
93,68.89952153110048
94,70.81339712918661
95,68.42105263157895
96,72.24880382775119
97,73.20574162679426
98,69.377990430622
99,67.46411483253588
100,68.89952153110048
101,71.77033492822966
102,74.16267942583733
103,71.29186602870813
104,69.85645933014354
105,68.89952153110048
106,73.20574162679426
107,69.377990430622
108,69.377990430622
109,70.33492822966507
110,67.46411483253588
111,68.89952153110048
112,73.20574162679426
113,71.29186602870813
114,71.29186602870813
115,67.94258373205741
116,67.94258373205741
117,69.377990430622
118,74.16267942583733
119,74.16267942583733
120,73.20574162679426
121,67.46411483253588
122,67.46411483253588
123,73.20574162679426
124,67.46411483253588
125,68.42105263157895
126,73.20574162679426
127,69.377990430622
128,67.94258373205741
129,72.24880382775119
130,66.98564593301435
131,70.81339712918661
132,71.29186602870813
133,68.89952153110048
134,67.94258373205741
135,73.20574162679426
