,Accuracy
0,66.98564593301435
1,66.50717703349282
2,66.50717703349282
3,67.94258373205741
4,67.46411483253588
5,66.50717703349282
6,67.46411483253588
7,66.50717703349282
8,66.98564593301435
9,67.94258373205741
10,67.46411483253588
11,66.50717703349282
12,67.46411483253588
13,67.46411483253588
14,65.07177033492823
15,66.50717703349282
16,67.46411483253588
17,66.50717703349282
18,66.98564593301435
19,65.55023923444976
20,67.46411483253588
21,67.94258373205741
22,65.55023923444976
23,65.55023923444976
24,66.50717703349282
25,67.94258373205741
26,66.50717703349282
27,67.94258373205741
28,66.98564593301435
29,66.98564593301435
30,67.94258373205741
31,67.94258373205741
32,66.98564593301435
33,66.98564593301435
34,66.02870813397129
35,66.98564593301435
36,65.55023923444976
37,66.98564593301435
38,66.02870813397129
39,67.46411483253588
40,66.02870813397129
41,66.50717703349282
42,67.94258373205741
43,66.98564593301435
44,66.98564593301435
45,66.02870813397129
46,67.94258373205741
47,68.89952153110048
48,66.50717703349282
49,66.50717703349282
50,68.42105263157895
51,67.46411483253588
52,67.94258373205741
53,64.5933014354067
54,64.5933014354067
55,66.50717703349282
56,67.46411483253588
57,67.46411483253588
58,66.98564593301435
59,67.46411483253588
60,68.42105263157895
61,67.94258373205741
62,65.55023923444976
63,66.02870813397129
64,66.02870813397129
65,67.46411483253588
66,66.50717703349282
67,69.377990430622
68,67.46411483253588
69,67.46411483253588
70,67.94258373205741
71,67.46411483253588
72,67.46411483253588
73,67.46411483253588
74,67.94258373205741
75,65.07177033492823
76,67.46411483253588
77,66.02870813397129
78,68.42105263157895
79,65.55023923444976
80,66.02870813397129
81,65.55023923444976
82,66.98564593301435
83,66.98564593301435
84,67.46411483253588
85,66.02870813397129
86,67.46411483253588
87,66.98564593301435
88,66.50717703349282
89,68.42105263157895
90,67.94258373205741
91,68.89952153110048
92,66.50717703349282
93,66.98564593301435
94,66.50717703349282
95,67.94258373205741
96,65.55023923444976
97,68.42105263157895
98,65.07177033492823
99,66.02870813397129
