,Accuracy
0,68.42105263157895
1,65.07177033492823
2,66.02870813397129
3,65.07177033492823
4,67.46411483253588
5,66.02870813397129
6,65.07177033492823
7,65.07177033492823
8,66.98564593301435
9,65.07177033492823
10,66.98564593301435
11,66.98564593301435
12,64.11483253588517
13,65.55023923444976
14,67.94258373205741
15,66.02870813397129
16,65.55023923444976
17,65.07177033492823
18,65.55023923444976
19,64.11483253588517
20,66.02870813397129
21,66.50717703349282
22,66.98564593301435
23,66.50717703349282
24,66.02870813397129
25,66.50717703349282
26,66.02870813397129
27,65.55023923444976
28,65.07177033492823
29,66.02870813397129
30,66.02870813397129
31,67.94258373205741
32,66.50717703349282
33,64.5933014354067
34,68.42105263157895
35,66.98564593301435
36,67.94258373205741
37,67.94258373205741
38,66.50717703349282
39,66.02870813397129
40,66.98564593301435
41,66.02870813397129
42,66.02870813397129
43,66.02870813397129
44,66.98564593301435
45,65.07177033492823
46,67.94258373205741
47,68.42105263157895
48,68.89952153110048
49,68.42105263157895
50,66.98564593301435
51,67.94258373205741
52,66.98564593301435
53,66.02870813397129
54,66.50717703349282
55,66.98564593301435
56,66.98564593301435
57,66.02870813397129
58,66.50717703349282
59,65.07177033492823
60,64.5933014354067
61,66.98564593301435
62,65.07177033492823
63,64.11483253588517
64,67.94258373205741
65,66.98564593301435
66,65.07177033492823
67,66.98564593301435
68,66.02870813397129
69,67.94258373205741
70,66.02870813397129
71,68.42105263157895
72,66.50717703349282
73,66.02870813397129
74,65.55023923444976
75,66.02870813397129
76,68.42105263157895
77,65.07177033492823
78,66.02870813397129
79,66.02870813397129
80,64.5933014354067
81,67.46411483253588
82,65.07177033492823
83,65.55023923444976
84,67.46411483253588
85,68.42105263157895
86,66.98564593301435
87,66.50717703349282
88,65.55023923444976
89,66.50717703349282
90,67.46411483253588
91,65.55023923444976
92,65.07177033492823
93,66.98564593301435
94,67.46411483253588
95,65.55023923444976
96,63.1578947368421
97,66.50717703349282
98,65.55023923444976
99,66.02870813397129
