,Accuracy
0,57.89473684210527
1,58.85167464114832
2,57.89473684210527
3,57.89473684210527
4,57.89473684210527
5,58.3732057416268
6,57.41626794258373
7,57.41626794258373
8,57.41626794258373
9,57.89473684210527
10,58.3732057416268
11,57.89473684210527
12,57.89473684210527
13,57.89473684210527
14,57.41626794258373
15,57.41626794258373
16,57.41626794258373
17,58.3732057416268
18,58.85167464114832
19,58.85167464114832
20,58.3732057416268
21,57.41626794258373
22,58.85167464114832
23,57.41626794258373
24,57.89473684210527
25,57.89473684210527
26,57.89473684210527
27,58.3732057416268
28,57.41626794258373
29,58.3732057416268
30,57.41626794258373
31,57.89473684210527
32,57.89473684210527
33,58.3732057416268
34,58.3732057416268
35,57.89473684210527
36,58.3732057416268
37,58.85167464114832
38,57.41626794258373
39,58.85167464114832
40,57.41626794258373
41,57.89473684210527
42,58.3732057416268
43,57.89473684210527
44,57.41626794258373
45,58.85167464114832
46,58.85167464114832
47,57.41626794258373
48,57.89473684210527
49,57.41626794258373
50,58.3732057416268
51,57.41626794258373
52,58.85167464114832
53,57.41626794258373
54,58.3732057416268
55,58.85167464114832
56,58.3732057416268
57,58.3732057416268
58,58.85167464114832
59,57.89473684210527
60,58.3732057416268
61,57.41626794258373
62,58.85167464114832
63,57.41626794258373
64,57.41626794258373
65,58.3732057416268
66,58.3732057416268
67,57.41626794258373
68,58.85167464114832
69,57.41626794258373
70,57.89473684210527
71,58.85167464114832
72,58.3732057416268
73,58.85167464114832
74,58.85167464114832
75,58.3732057416268
76,57.41626794258373
77,58.85167464114832
78,58.85167464114832
79,58.3732057416268
80,57.89473684210527
81,58.85167464114832
82,58.85167464114832
83,57.41626794258373
84,57.41626794258373
85,57.89473684210527
86,57.89473684210527
87,58.85167464114832
88,58.85167464114832
89,58.85167464114832
90,58.85167464114832
91,57.89473684210527
92,58.85167464114832
93,57.89473684210527
94,58.3732057416268
95,58.3732057416268
96,58.85167464114832
97,58.3732057416268
98,57.89473684210527
99,58.3732057416268
