,Accuracy
0,62.67942583732058
1,62.67942583732058
2,63.1578947368421
3,63.1578947368421
4,63.1578947368421
5,63.1578947368421
6,63.1578947368421
7,62.67942583732058
8,62.67942583732058
9,63.1578947368421
10,63.1578947368421
11,63.1578947368421
12,62.67942583732058
13,63.1578947368421
14,62.67942583732058
15,62.67942583732058
16,62.67942583732058
17,62.67942583732058
18,62.67942583732058
19,63.1578947368421
20,63.1578947368421
21,62.67942583732058
22,62.67942583732058
23,62.67942583732058
24,62.67942583732058
25,63.1578947368421
26,62.67942583732058
27,63.1578947368421
28,62.67942583732058
29,63.1578947368421
30,63.1578947368421
31,63.1578947368421
32,63.1578947368421
33,63.1578947368421
34,63.1578947368421
35,62.67942583732058
36,62.67942583732058
37,62.67942583732058
38,62.67942583732058
39,63.1578947368421
40,63.1578947368421
41,62.67942583732058
42,63.1578947368421
43,62.67942583732058
44,63.1578947368421
45,63.1578947368421
46,62.67942583732058
47,62.67942583732058
48,63.1578947368421
49,62.67942583732058
50,63.1578947368421
51,62.67942583732058
52,63.1578947368421
53,63.1578947368421
54,63.1578947368421
55,62.67942583732058
56,63.1578947368421
57,62.67942583732058
58,63.1578947368421
59,63.1578947368421
60,63.1578947368421
61,63.1578947368421
62,63.1578947368421
63,63.1578947368421
64,63.1578947368421
65,62.67942583732058
66,63.1578947368421
67,63.1578947368421
68,63.1578947368421
69,63.1578947368421
70,62.67942583732058
71,63.1578947368421
72,63.1578947368421
73,62.67942583732058
74,63.1578947368421
75,63.1578947368421
76,62.67942583732058
77,63.1578947368421
78,62.67942583732058
79,62.67942583732058
80,63.1578947368421
81,63.1578947368421
82,63.1578947368421
83,63.1578947368421
84,62.67942583732058
85,63.1578947368421
86,63.1578947368421
87,63.1578947368421
88,63.1578947368421
89,63.1578947368421
90,62.67942583732058
91,62.67942583732058
92,62.67942583732058
93,63.1578947368421
94,62.67942583732058
95,62.67942583732058
96,62.67942583732058
97,62.67942583732058
98,62.67942583732058
99,62.67942583732058
