,Accuracy
0,66.50717703349282
1,66.50717703349282
2,66.50717703349282
3,66.50717703349282
4,66.50717703349282
5,66.50717703349282
6,66.50717703349282
7,66.50717703349282
8,66.50717703349282
9,66.50717703349282
10,66.50717703349282
11,66.50717703349282
12,66.50717703349282
13,66.50717703349282
14,66.50717703349282
15,66.50717703349282
16,66.50717703349282
17,66.50717703349282
18,66.50717703349282
19,66.50717703349282
20,66.50717703349282
21,66.50717703349282
22,66.50717703349282
23,66.50717703349282
24,66.50717703349282
25,66.50717703349282
26,66.50717703349282
27,66.50717703349282
28,66.50717703349282
29,66.50717703349282
30,66.50717703349282
31,66.50717703349282
32,66.50717703349282
33,66.50717703349282
34,66.50717703349282
35,66.50717703349282
36,66.50717703349282
37,66.50717703349282
38,66.50717703349282
39,66.50717703349282
40,66.50717703349282
41,66.50717703349282
42,66.50717703349282
43,66.50717703349282
44,66.50717703349282
45,66.50717703349282
46,66.50717703349282
47,66.50717703349282
48,66.50717703349282
49,66.50717703349282
50,66.50717703349282
51,66.50717703349282
52,66.50717703349282
53,66.50717703349282
54,66.50717703349282
55,66.50717703349282
56,66.50717703349282
57,66.50717703349282
58,66.50717703349282
59,66.50717703349282
60,66.50717703349282
61,66.50717703349282
62,66.50717703349282
63,66.50717703349282
64,66.50717703349282
65,66.50717703349282
66,66.50717703349282
67,66.50717703349282
68,66.50717703349282
69,66.50717703349282
70,66.50717703349282
71,66.50717703349282
72,66.50717703349282
73,66.50717703349282
74,66.50717703349282
75,66.50717703349282
76,66.50717703349282
77,66.50717703349282
78,66.50717703349282
79,66.50717703349282
80,66.50717703349282
81,66.50717703349282
82,66.50717703349282
83,66.50717703349282
84,66.50717703349282
85,66.50717703349282
86,66.50717703349282
87,66.50717703349282
88,66.50717703349282
89,66.50717703349282
90,66.50717703349282
91,66.50717703349282
92,66.50717703349282
93,66.50717703349282
94,66.50717703349282
95,66.50717703349282
96,66.50717703349282
97,66.50717703349282
98,66.50717703349282
99,66.50717703349282
